,page_url,src_url,iframe_html
349,https://www.sigma-rh.com/fr-fr/suite-gestion-administrative/notes-de-frais/,https://contact.sigma-rh.com/l/994192/2022-08-24/r53,"<iframe src=""https://contact.sigma-rh.com/l/994192/2022-08-24/r53"" width=""100%"" height=""500px"" type=""text/html"" frameborder=""0"" allowtransparency=""true"" style=""border: 0"" id=""sigma-form""/>"
350,https://www.sigma-rh.com/en-ca/core-hr-suite/expense-reports/,https://contact.sigma-rh.com/l/994192/2022-08-24/r9h,"<iframe src=""https://contact.sigma-rh.com/l/994192/2022-08-24/r9h"" width=""100%"" height=""500px"" type=""text/html"" frameborder=""0"" allowtransparency=""true"" style=""border: 0"" id=""sigma-form""/>"
351,https://www.sigma-rh.com/fr-ca/suite-gestion-administrative/centre-de-services-partages-rh/,https://contact.sigma-rh.com/l/994192/2022-08-24/r96,"<iframe src=""https://contact.sigma-rh.com/l/994192/2022-08-24/r96"" width=""100%"" height=""500"" type=""text/html"" frameborder=""0"" allowtransparency=""true"" style=""border: 0"" id=""sigma-form""/>"
352,https://www.sigma-rh.com/fr-fr/suite-gestion-administrative/centre-de-services-partages-rh/,https://contact.sigma-rh.com/l/994192/2022-08-24/r53,"<iframe src=""https://contact.sigma-rh.com/l/994192/2022-08-24/r53"" width=""100%"" height=""500px"" type=""text/html"" frameborder=""0"" allowtransparency=""true"" style=""border: 0"" id=""sigma-form""/>"
353,https://www.sigma-rh.com/en-ca/core-hr-suite/hr-shared-services-centre/,https://contact.sigma-rh.com/l/994192/2022-08-24/r9h,"<iframe src=""https://contact.sigma-rh.com/l/994192/2022-08-24/r9h"" width=""100%"" height=""500px"" type=""text/html"" frameborder=""0"" allowtransparency=""true"" style=""border: 0"" id=""sigma-form""/>"
354,https://www.sigma-rh.com/fr-ca/suite-gestion-administrative/service-de-paie/,https://contact.sigma-rh.com/l/994192/2022-08-24/r96,"<iframe src=""https://contact.sigma-rh.com/l/994192/2022-08-24/r96"" width=""100%"" height=""500"" type=""text/html"" frameborder=""0"" allowtransparency=""true"" style=""border: 0"" id=""sigma-form""/>"
355,https://www.sigma-rh.com/en-ca/core-hr-suite/payroll-software/,https://contact.sigma-rh.com/l/994192/2022-08-24/r9h,"<iframe src=""https://contact.sigma-rh.com/l/994192/2022-08-24/r9h"" width=""100%"" height=""500px"" type=""text/html"" frameborder=""0"" allowtransparency=""true"" style=""border: 0"" id=""sigma-form""/>"
356,https://www.sigma-rh.com/fr-ca/suite-gestion-administrative/logiciel-gestion-financiere/,https://contact.sigma-rh.com/l/994192/2022-08-24/r96,"<iframe src=""https://contact.sigma-rh.com/l/994192/2022-08-24/r96"" width=""100%"" height=""500"" type=""text/html"" frameborder=""0"" allowtransparency=""true"" style=""border: 0"" id=""sigma-form""/>"
357,https://www.sigma-rh.com/fr-ca/LP-gestion-talents/,https://contact.sigma-rh.com/l/994192/2023-05-10/3znc3t,"<iframe src=""https://contact.sigma-rh.com/l/994192/2023-05-10/3znc3t"" width=""100%"" height=""535"" type=""text/html"" frameborder=""0"" allowtransparency=""true"" style=""border: 0""/>"
358,https://www.sigma-rh.com/fr-fr/LP-gestion-talents/,https://contact.sigma-rh.com/l/994192/2023-05-10/3znc7f,"<iframe src=""https://contact.sigma-rh.com/l/994192/2023-05-10/3znc7f"" height=""535"" type=""text/html"" frameborder=""0"" allowtransparency=""true"" style=""border: 0""/>"
359,https://www.sigma-rh.com/fr-fr/vivreaucanada/,https://contact.sigma-rh.com/l/994192/2022-08-24/r53,"<iframe src=""https://contact.sigma-rh.com/l/994192/2022-08-24/r53"" width=""100%"" height=""500px"" type=""text/html"" frameborder=""0"" allowtransparency=""true"" style=""border: 0"" id=""sigma-form""/>"
